"year","month","weeks_charted","high","artist","title","genre","bpm","length"
2000,6,19,52,"Whitney Houston","Could I Have This Kiss Forever","Rock",94,234
2000,3,12,52,"Bloodhound Gang","The Bad Touch","R&B",122,260
1999,11,19,53,"Robbie Williams","Angels","Rock",75,236
2000,1,13,53,"Jo Dee Messina","Because You Love Me","Country",72,230
2000,8,15,54,"Toby Keith","Country Comes To Town","Country",123,219
2000,10,15,54,"Beenie Man","Girls Dem Sugar","Reggae",117,257
2000,8,14,54,"Faith Hill","Let's Make Love","Rap",73,251
1999,12,12,54,"Kelis","Caught Out There","R&B",92,249
2000,2,8,55,"Jay-Z","Anything","Rap",81,221
2000,10,20,55,"3 Doors Down","Loser","Rock",147,264
2000,6,19,55,"Brooks & Dunn","You'll Always Be Loved By Me","Country",103,178
2000,4,17,56,"Kenny Chesney","What I Need To Do","Country",78,245
1999,12,17,56,"Angie Stone","No More Rain (In This Cloud)","R&B",141,282
2000,2,18,56,"Da Brat","That's What I'm Looking For","Rap",129,224
2000,2,9,57,"SheDaisy","This Woman Needs","Country",129,200
2000,7,20,57,"Papa Roach","Last Resort","Rock",90,199
2000,8,20,57,"Yolanda Adams","Open My Heart","Gospel",105,330
2000,9,15,57,"Shyne","Bad Boyz","Rap",83,262
1999,12,14,57,"R.E.M.","The Great Beyond","Rock",111,250
2000,8,14,57,"Joe Diffie","It's Always Somethin'","Country",89,175
2000,5,14,58,"Tim McGraw","Some Things Never Change","Country",89,236
2000,6,20,58,"Don Henley","Taking You Home","Rock",144,248
2000,8,10,58,"Eminem","The Way I Am","Rap",87,280
2000,3,16,59,"Nas","You Owe Me","R&B",110,231
2000,7,20,59,"Sister Hazel","Change Your Mind","Rock",91,242
2000,2,5,59,"Puff Daddy","Best Friend","Rap",84,333
2000,9,13,60,"Martina McBride","There You Are","Country",72,206
2000,11,7,60,"Usher","Pop Ya Collar","Rock",107,216
2000,7,10,60,"Lil' Kim","No Matter What They Say","Rap",119,252
2000,4,5,61,"LFO","I Don't Wanna Kiss You Goodnight","Rock",128,300
1999,12,3,61,"SheDaisy","Deck The Halls","Country",118,226
2000,6,12,62,"Splender","I Think God Can Explain","R&B",137,235
2000,4,6,62,"Jessica Simpson","Where You Are","Rock",118,231
2000,4,18,62,"M2M","Mirror Mirror","Pop",100,199
2000,3,10,62,"Kumbia Kings","U Don't Love Me","R&B",147,230
2000,8,17,63,"Joe","Treat Her Like A Lady","Rock",126,252
1999,11,15,63,"Mary J. Blige","Deep Inside","Rock",129,326
2000,9,20,64,"Kelly Price","You Should've Told Me","Rock",120,192
2000,9,11,64,"Changing Faces","That Other Woman","Rock",133,240
2000,3,10,64,"Chely Wright","It Was","R&B",85,231
2000,11,17,65,"Limp Bizkit","Rollin'","Rock",97,244
2000,2,13,65,"Hot Boys","I Need A Hot Girl","Rap",96,256
2000,1,9,65,"Jay-Z","Do It Again (Put Ya Hands Up)","Rap",146,227
2000,4,11,65,"Trace Adkins","More","Country",89,185
2000,6,10,65,"Dixie Chicks, The","Cold Day In July","Country",129,312
2000,7,8,64,"Kelly Price","As We Lay","Rock",123,380
2000,1,11,67,"DMX","What's My Name","Rap",94,230
2000,3,5,67,"Ricky Martin","Private Emotion","Latin",73,242
2000,12,5,68,"Nine Days","If I Am","Rock",98,258
2000,4,9,68,"Mary J. Blige","Give Me You","Rock",110,300
2000,7,19,69,"Red Hot Chili Peppers","Californication","Rock",97,321
2000,9,12,69,"Third Eye Blind","Deep Inside Of You","Rock",81,250
2000,2,6,69,"Garth Brooks","Do What You Gotta Do","Country",133,176
2000,11,9,70,"Offspring, The","Original Prankster","Rock",73,222
2000,9,20,70,"Marc Anthony","My Baby You","Latin",115,239
2000,6,9,70,"Whitney Houston","Same Script, Different Cast","Rock",117,285
1999,12,5,70,"D'Angelo","Left & Right","R&B",115,275
2000,3,9,71,"Lenny Kravitz","I Belong To You","Rock",87,257
2000,9,14,71,"Patty Loveless","That's The Kind Of Mood I'm In","Country",126,207
2000,1,5,71,"Q-Tip","Breathe And Stop","Rock",98,246
2000,9,20,71,"LeAnn Rimes","Can't Fight The Moonlight","Country",97,213
1999,12,11,72,"Lil Wayne","Tha Block Is Hot","Rap",NA,253
2000,2,7,72,"2 Pac","Baby Don't Cry (Keep Ya Head Up II)","Rap",94,262
2000,10,6,73,"Wallflowers, The","Sleepwalker","Rock",128,209
2000,2,13,73,"Drama","Left, Right, Left","Rap",125,217
1999,12,11,73,"Limp Bizkit","N 2 Gether Now","Rock",102,235
2000,3,7,73,"Lox","Ryde or Die, Chick","Rap",95,236
2000,3,14,74,"Ying Yang Twins","Whistle While You Twurk","Rap",102,259
1999,12,11,74,"Clay Walker","Live, Laugh, Love","Country",98,246
2000,2,10,74,"Metallica","No Leaf Clover (Live)","Rock",76,343
2000,4,8,74,"Yankee Grey","Another Nine Minutes","Country",137,190
2000,1,3,74,"Lou Bega","Tricky Tricky ","Rock",75,203
2000,4,15,75,"Big Punisher","It's So Hard","Rap",92,205
2000,6,15,75,"Darryl Worley","When You Need My Love","Country",85,215
2000,11,9,75,"Lil' Kim","How Many Licks?","Rap",105,230
2000,12,6,75,"Terri Clark","A Little Gasoline","Country",76,187
2000,1,3,75,"Chad Brock","A Country Boy Can Survive","Country",75,234
2000,10,11,76,"Chris Cagle","My Love Goes On And On","Country",80,182
2000,1,8,76,"Tracy Byrd","Put Your Hand In Mine","Country",145,270
2000,5,20,76,"Metallica","I Disappear","Rock",122,266
2000,8,15,76,"Jay-Z","Hey Papi","Rap",79,220
1999,11,12,76,"Fatboy Slim","The Rockafeller Skank","Electronic",77,240
2000,3,8,76,"Gerald Levert","Mr. Too Damn Good","R&B",115,246
2000,2,8,76,"Brian McKnight","Stay Or Let It Go","Rock",79,272
2000,1,5,76,"Gary Allan","Smoke Rings In The Dark","Country",115,258
2000,1,12,77,"Ginuwine","The Best Man I Can Be","Rock",111,246
2000,5,9,77,"Before Dark","Monica","Rock",87,244
2000,6,1,77,"Gloria Estefan","No Me Dejes De Querer","Rock",83,205
2000,7,13,78,"Stone Temple Pilots","Sour Girl","Rock",103,256
2000,3,6,79,"Montgomery Gentry","Daddy Won't Sell The Farm","Country",119,258
2000,9,13,80,"Billy Ray Cyrus","You Won't Be Lonely Now","Country",76,225
2000,11,12,80,"Clark Family Experience","Meanwhile Back At The Ranch","Country",94,176
2000,9,11,80,"Carl Thomas","Summer Rain","Rock",93,297
2000,4,6,81,"Trisha Yearwood","Real Live Woman","Country",126,235
2000,5,11,83,"Trick Daddy","Shut Up","Rap",72,257
2000,10,9,83,"Chante Moore","Straight Up","Rock",100,220
2000,10,10,83,"Cam'ron","What Means The World To You","Rap",143,278
2000,2,6,83,"Juvenile","U Understand","Rap",99,231
2000,3,4,84,"Dave Hollister","Can't Stay","Rock",118,377
2000,9,5,84,"Tamia","Can't Go For That","Rock",105,218
2000,8,4,84,"LFO","West Side Story","Rock",100,207
2000,5,4,85,"Brad Paisley","Me Neither","Country",117,199
2000,6,7,86,"Torrey Carter","Take That","Rock",92,223
2000,9,3,87,"2Ge+her","The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)","R&B",111,195
2000,7,20,88,"Madison Avenue","Don't Call Me Baby","Electronic",124,224
2000,7,5,88,"Eve","Got It All","Rap",95,228
1999,12,18,88,"Limp Bizkit","Re-Arranged","Rock",105,248
2000,3,3,88,"Tracie Spencer","Still In My Heart","Rock",89,251
2000,6,9,89,"Nu Flavor","3 Little Words","R&B",114,234
2000,3,6,89,"Tamar","If You Don't Wanna Love Me","Rock",120,242
2000,8,5,89,"Gerald Levert","Baby U Are","R&B",86,250
1999,11,12,90,"Beth Hart","L.A. Song","Country",130,227
2000,1,6,90,"Joe Diffie","The Quittin' Kind","Country",101,203
2000,11,7,91,"Funkmaster Flex","Do You","Rap",96,254
2000,5,4,91,"Kelly Price","Love Sets You Free","Rock",99,226
2000,6,4,92,"En Vogue","Riddle","Rock",95,310
2000,3,8,92,"Ty Herndon","No Mercy","Country",93,283
2000,4,3,92,"Anastacia","I'm Outta Love","Pop",119,241
2000,9,4,93,"Trina","Pull Over","Rap",124,178
2000,8,7,95,"Lil' Mo","Ta Da","Rap",120,257
2000,7,5,95,"A*Teens","Dancing Queen","Pop",104,224
2000,11,5,95,"Damizza Presents Shade Sheist…","Where I Wanna Be","Rap",96,256
2000,12,3,96,"De La Soul","All Good?","Rap",96,302
2000,3,3,97,"Amel Larrieux","Get Up","R&B",88,242
2000,12,3,98,"Toni Braxton","Spanish Guitar","Rock",119,264
2000,12,2,98,"Sunday","I Know","Rock",90,246
2000,8,2,98,"LL Cool J","Imagine That","Rap",97,240
2000,11,1,98,"Master P","Souljas","Rap",99,213
2000,8,1,98,"Ghostface Killah","Cherchez LaGhost","R&B",103,184
2000,2,4,99,"Will Smith","Freakin' It","Rap",111,238
2000,9,2,99,"Zombie Nation","Kernkraft 400","Rock",139,210
2000,7,2,99,"Snoop Dogg Presents The Eastsidaz","Got Beef","Rap",89,238
2000,10,1,99,"Fragma","Toca's Miracle","R&B",135,202
1999,7,58,1,"Santana","Smooth","Rock",115,244
1999,5,25,1,"Jennifer Lopez","If You Had My Love","Latin",94,265
1999,7,25,1,"Christina Aguilera","Genie In A Bottle","Rock",87,216
1999,4,20,1,"Ricky Martin","Livin' La Vida Loca","Latin",88,243
1999,2,28,1,"TLC","No Scrubs","Rock",92,219
1998,12,31,1,"Cher","Believe","Rock",132,239
1998,12,30,1,"Monica","Angel Of Mine","Rock",90,250
1999,6,32,1,"TLC","Unpretty","Rock",88,278
1998,11,32,1,"Britney Spears","..Baby One More Time","Rock",92,209
1998,12,22,1,"Brandy","Have You Ever?","Rock",133,213
1999,9,20,1,"Mariah Carey","Heartbreaker","Rock",100,282
1999,7,20,1,"Enrique Iglesias","Bailamos","Latin",99,213
1999,6,20,1,"Destiny's Child","Bills, Bills, Bills","Rock",127,256
1999,5,17,1,"Will Smith","Wild Wild West","Rap",107,242
1999,8,37,2,"Brian McKnight","Back At One","Rock",129,262
1998,12,28,2,"Whitney Houston","Heartbreak Hotel","Rock",133,239
1999,9,20,2,"Puff Daddy","Satisfy You","Rap",87,270
1999,8,20,2,"Ricky Martin","She's All I Ever Had","Latin",80,290
1998,11,33,2,"Sixpence None The Richer","Kiss Me","Rock",100,197
1999,5,21,2,"Pearl Jam","Last Kiss","Rock",112,194
1999,5,20,2,"K-Ci & JoJo","Tell Me It's Real","Rock",134,221
1999,9,20,2,"N'Sync","Music Of My Heart","Rock",112,267
1999,10,20,3,"Jessica Simpson","I Wanna Love You Forever","Pop",103,260
1999,7,17,3,"LFO","Summer Girls","Rock",99,257
1999,1,31,3,"Sugar Ray","Every Morning","Rock",109,219
1999,9,40,3,"Marc Anthony","I Need To Know","Latin",115,225
1999,8,22,3,"Lou Bega","Mambo No. 5 (A Little Bit Of..)","Rock",87,221
1999,3,20,3,"Busta Rhymes","What's It Gonna Be?!","Rap",116,331
1999,4,25,4,"Maxwell","Fortunate","Rock",126,300
1998,12,28,4,"Sarah McLachlan","Angel","Rock",116,273
1999,2,20,4,"Mariah Carey","I Still Believe","Rock",118,231
1999,5,42,4,"702","Where My Girls At?","Rock",103,170
1999,5,30,4,"Smash Mouth","All Star","Rock",103,200
1999,5,20,4,"Whitney Houston","It's Not Right But It's Okay","Rock",127,261
1999,1,21,5,"Backstreet Boys, The","All I Have To Give","Rock",96,276
1999,4,20,5,"JT Money","Who Dat","Rap",87,234
1998,12,28,5,"Eagle-Eye Cherry","Save Tonight","Rock",119,241
1999,3,24,5,"98°","The Hardest Thing","Rock",88,223
1998,12,20,5,"Third Eye Blind","Jumper","Rock",91,248
1999,9,10,5,"Garth Brooks","Lost In You","Country",89,185
1999,4,31,6,"Backstreet Boys, The","I Want It That Way","Rock",99,213
1998,12,16,6,"Jewel","Hands","Rock",127,227
1999,7,32,7,"Sugar Ray","Someday","Rock",110,240
1999,9,24,7,"Donell Jones","U Know What's Up","Rock",103,240
1998,12,18,7,"Shawn Mullins","Lullaby","Rock",79,272
1999,1,28,7,"Shania Twain","That Don't Impress Me Much","Country",125,223
1998,11,20,7,"Total","Trippin'","Rap",124,248
1998,12,35,8,"Goo Goo Dolls","Slide","Rock",112,212
1999,10,20,8,"Jennifer Lopez","Waiting For Tonight","Latin",125,239
1999,4,20,8,"Blaque","808","Rock",121,237
1998,12,22,8,"N'Sync","(God Must Have Spent) A Little More Time On You","Rock",83,238
1999,9,20,8,"Deborah Cox","We Can't Be Friends","Rock",120,255
1999,2,19,9,"Faith Evans","All Night Long","Rock",100,234
1999,2,15,9,"B*Witched","C'est La Vie","Pop",109,172
1999,6,29,9,"Red Hot Chili Peppers","Scar Tissue","Rock",89,215
1999,8,25,9,"Len","Steal My Sunshine","Rock",95,238
1999,5,18,10,"Chante Moore","Chante's Got A Man","Rock",111,253
1999,11,17,10,"LFO","Girl On TV","Rock",96,247
1999,2,14,10,"Joey McIntyre","Stay The Same","Rock",129,228
1999,11,20,10,"Kevon Edmonds","24/7","R&B",116,222
1999,4,20,10,"Tim McGraw","Please Remember Me","Country",75,269
1999,2,20,10,"Jesse Powell","You","Rock",113,240
1999,4,20,10,"Jordan Knight","Give It To You","Rock",134,260
1999,9,20,10,"Britney Spears","(You Drive Me) Crazy","Rock",101,195
1999,7,17,10,"Naughty By Nature","Jamboree","Rap",92,212
1998,12,20,10,"Case","Faded Pictures","R&B",82,228
1999,1,12,11,"Gerald Levert","Taking Everything","R&B",113,245
1998,12,32,12,"Lenny Kravitz","Fly Away","Rock",80,186
1999,1,25,12,"Tyrese","Sweet Lady","R&B",132,252
1999,8,17,12,"R. Kelly","If I Could Turn Back The Hands Of Time","Rock",81,373
1999,5,17,12,"Sporty Thievz","No Pigeons","Rap",95,205
1999,3,10,12,"Shanice","When I Close My Eyes","Rock",83,203
1999,3,20,13,"Silk","If You (Lovin' Me)","Rock",99,250
1999,8,20,13,"98°","I Do (Cherish You)","Rock",80,225
1998,12,33,13,"Everlast","What It's Like","Rap",85,277
1999,8,22,13,"Ideal","Get Gone","R&B",119,278
1999,6,28,14,"Tal Bachman","She's So High","Rock",123,220
1999,5,20,14,"Sarah McLachlan","I Will Remember You (Live)","Rock",148,222
1998,12,17,14,"BLACKstreet & Mya","Take Me There","Rock",96,241
1999,6,20,15,"Case","Happily Ever After","Rock",120,250
1998,12,17,15,"Whitney Houston","When You Believe","Rock",127,273
1999,3,25,15,"112","(We Can Do It) Anywhere","R&B",126,243
1998,11,22,15,"Jay-Z","Hard Knock Life (Ghetto Anthem)","Rap",76,192
1998,11,20,15,"Mo Thugs Family","Ghetto Cowboy","Rock",85,267
1999,7,20,16,"Ginuwine","So Axious","Rock",96,238
1999,7,34,16,"Goo Goo Dolls","Black Balloon","Rock",105,240
1999,4,20,16,"Brandy","Almost Doesn't Count","Rock",143,217
1999,3,10,16,"Keith Sweat","I'm Not Ready","Rock",107,250
1999,7,20,17,"Faith Evans","Never Gonna Let You Go","Rock",109,259
1998,12,21,17,"Will Smith","Miami","Rap",108,199
1998,12,20,17,"Mark Chesnutt","I Don't Want To Miss A Thing","Country",122,233
1999,8,5,17,"Nine Inch Nails","The Day The World Went Away","Rock",130,243
1999,3,18,18,"Silkk The Shocker","It Ain't My Fault 1 & 2","Rock",87,206
1999,12,4,18,"Christina Aguilera","The Christmas Song (Chestnuts Roasting On An Open Fire)","Rock",130,240
1999,8,13,18,"Tracie Spencer","It's All About You (Not About Me)","Rock",135,250
1999,7,14,18,"Vitamin C","Smile","Rock",95,240
1998,10,37,19,"Jay-Z","Can I Get A..","Rap",88,310
